observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation=GET duration_ms=22.601
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /upstream" duration_ms=23.838
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /work" duration_ms=21.231
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation=GET duration_ms=22.158
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /upstream" duration_ms=23.000
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /work" duration_ms=21.306
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation=GET duration_ms=22.595
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /upstream" duration_ms=23.787
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /work" duration_ms=21.172
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation=GET duration_ms=23.087
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /upstream" duration_ms=24.123
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /work" duration_ms=21.400
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation=GET duration_ms=22.582
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /upstream" duration_ms=24.588
observability_agent  | 2026/05/12 05:06:21 INFO span buffered service=node-service operation="GET /work" duration_ms=20.724
observability_agent  | 2026/05/12 05:06:38 INFO metric buffered service=python-service metric=otel.sdk.processor.log.queue.capacity value=2048
observability_agent  | 2026/05/12 05:06:38 INFO metric buffered service=python-service metric=otel.sdk.span.started value=149
observability_agent  | 2026/05/12 05:06:38 INFO metric buffered service=python-service metric=otel.sdk.span.live value=0
observability_agent  | 2026/05/12 05:06:38 INFO metric buffered service=python-service metric=otel.sdk.processor.span.processed value=522
observability_agent  | 2026/05/12 05:06:38 INFO metric buffered service=python-service metric=otel.sdk.processor.span.queue.size value=3
observability_agent  | 2026/05/12 05:06:38 INFO metric buffered service=python-service metric=otel.sdk.processor.log.queue.size value=0
observability_agent  | 2026/05/12 05:06:38 INFO metric buffered service=python-service metric=otel.sdk.metric_reader.collection.duration value=0
observability_agent  | 2026/05/12 05:06:38 INFO metric buffered service=python-service metric=asyncio.process.duration value=0
observability_agent  | 2026/05/12 05:06:38 INFO metric buffered service=python-service metric=asyncio.process.created value=1
observability_agent  | 2026/05/12 05:06:38 INFO metric buffered service=python-service metric=http.server.active_requests value=0
observability_agent  | 2026/05/12 05:06:38 INFO metric buffered service=python-service metric=http.server.duration value=0
observability_agent  | 2026/05/12 05:06:38 INFO metric buffered service=python-service metric=http.server.response.size value=0
observability_agent  | 2026/05/12 05:07:12 INFO flushed spans=105 metrics=12 duration_ms=15 at=2026-05-12T05:07:12Z
observability_agent  | 2026/05/12 05:07:40 INFO metric buffered service=python-service metric=otel.sdk.processor.log.queue.capacity value=2048
observability_agent  | 2026/05/12 05:07:40 INFO metric buffered service=python-service metric=otel.sdk.span.started value=155
observability_agent  | 2026/05/12 05:07:40 INFO metric buffered service=python-service metric=otel.sdk.span.live value=0
observability_agent  | 2026/05/12 05:07:40 INFO metric buffered service=python-service metric=otel.sdk.processor.span.processed value=540
observability_agent  | 2026/05/12 05:07:40 INFO metric buffered service=python-service metric=otel.sdk.processor.span.queue.size value=3
